max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
4096,hog:256,1310,1,116,2786,2226,1099,0.00,0
4096,hog:256,1320,1,97,2788,2226,1094,0.00,0
4096,hog:256,1330,1,129,2791,2226,1091,0.00,0
4096,hog:256,1340,0,147,2794,2226,1091,0.00,0
4096,hog:256,1350,3,195,2797,2226,1086,0.00,0
4096,hog:256,1360,5,118,2799,2226,1089,0.00,0
4096,hog:256,1370,1,106,2801,2226,1089,0.00,0
4096,hog:256,1380,0,115,2804,2226,1088,0.00,0
4096,hog:256,1390,1,115,2807,2226,1081,0.00,0
4096,hog:256,1400,1,93,2810,2226,1080,0.00,0
4096,hog:256,1410,1,93,2813,2226,1078,0.00,0
4096,hog:256,1420,1,129,2816,2226,1070,0.00,0
4096,hog:256,1430,1,94,2819,2226,1065,0.00,0
4096,hog:256,1440,1,106,2822,2226,1062,0.00,0
4096,hog:256,1450,1,114,2827,2226,1062,0.00,0
4096,hog:256,1460,1,102,2829,2226,1062,0.00,0
4096,hog:256,1470,1,97,2831,2226,1057,0.00,0
4096,hog:256,1480,1,116,2837,2226,1052,0.00,0
4096,hog:256,1490,1,93,2841,2226,1052,0.00,0
4096,hog:256,1500,1,96,2843,2226,1047,0.00,0
8192,idle,10,10,131,2474,0,7662,0.00,0
8192,idle,20,20,136,2490,0,7646,0.00,0
8192,idle,30,30,142,2508,0,7628,0.00,0
8192,idle,40,40,135,2535,0,7609,0.00,0
8192,idle,50,50,142,2560,0,7584,0.00,0
8192,idle,60,60,136,2594,0,7558,0.00,0
8192,idle,70,70,143,2608,0,7541,0.00,0
8192,idle,80,80,165,2638,0,7525,0.00,0
8192,idle,90,90,140,2669,0,7458,0.00,0
8192,idle,100,100,180,2701,0,7426,0.00,0
8192,idle,110,110,162,2738,0,7418,0.00,0
8192,idle,120,120,156,2759,0,7389,0.00,0
8192,idle,130,130,175,2799,0,7365,0.00,0
8192,idle,140,140,161,2813,0,7376,0.00,0
8192,idle,150,150,162,2823,0,7340,0.00,0
8192,idle,160,160,161,2856,0,7321,0.00,0
8192,idle,170,170,180,2861,0,7331,0.00,0
8192,idle,180,180,190,2895,0,7285,0.00,0
8192,idle,190,190,187,2916,0,7287,0.00,0
8192,idle,200,200,186,2952,0,7246,0.00,0
8192,idle,210,210,191,2977,0,7211,0.00,0
8192,idle,220,220,197,3033,5963,1290,0.00,0
8192,idle,230,230,207,3063,5963,1286,0.00,0
8192,idle,240,240,256,3072,5963,1264,0.00,0
8192,idle,250,250,230,3077,5963,1258,0.00,0
